学校标识码,学校名称,主管部门,所在地,办学层次,备注,办学类型,slug,来源说明
4133010335,浙江大学,教育部,浙江省,本科,,综合类,zhejiang-university,教育部全国高等学校名单公开字段。
4111010003,清华大学,教育部,北京市,本科,,综合类,tsinghua-university,教育部全国高等学校名单公开字段。
