专业代码,专业名称,学科门类,专业类,修业年限,授予学位,是否特设专业,是否国家控制布点专业,slug,来源说明
082801,建筑学,工学,建筑类,五年,工学学士,否,否,architecture,教育部《普通高等学校本科专业目录（2026年）》公开目录字段。
100201K,临床医学,医学,临床医学类,五年,医学学士,否,是,clinical-medicine,教育部《普通高等学校本科专业目录（2026年）》公开目录字段。
